City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,santa fe,-31.6333,-60.7,36.12,45,99,2.68,AR,1675018468
84,yar-sale,66.8333,70.8333,-26.97,99,100,2.68,RU,1675018468
85,hilo,19.7297,-155.09,21.27,88,100,0.89,US,1675018469
86,hovd,48.0056,91.6419,-14.84,68,93,1.46,MN,1675018469
87,mayo,38.8876,-76.5119,10.02,68,100,5.66,US,1675018470
88,qaanaaq,77.484,-69.3632,-22.14,81,100,1.39,GL,1675018470
89,hobart,-42.8794,147.3294,15.92,81,100,0.51,AU,1675018326
90,hambantota,6.1241,81.1185,22.19,100,75,0.0,LK,1675018471
91,cairns,-16.9167,145.7667,25.04,100,75,4.63,AU,1675018472
92,bandarbeyla,9.4942,50.8122,23.93,67,19,8.8,SO,1675018472
93,kadayanallur,9.0833,77.35,22.46,85,23,1.31,IN,1675018473
94,dikson,73.5069,80.5464,-34.15,97,67,1.73,RU,1675018474
95,rawson,-43.3002,-65.1023,28.48,37,0,6.82,AR,1675018474
96,qujing,25.4833,103.7833,2.3,85,0,1.45,CN,1675018476
97,butaritari,3.0707,172.7902,27.33,77,97,10.44,KI,1675018476
98,puerto del rosario,28.5004,-13.8627,16.86,48,20,5.14,ES,1675018413
99,oum hadjer,13.2954,19.6966,30.43,11,79,3.47,TD,1675018477
100,narsaq,60.9167,-46.05,-10.13,67,100,3.81,GL,1675018442
101,najran,17.4924,44.1277,16.36,54,10,1.58,SA,1675018238
102,kununurra,-15.7667,128.7333,23.99,100,100,2.06,AU,1675018479
103,mumbwa,-14.9783,27.0619,17.26,93,100,0.8,ZM,1675018479
104,saint-philippe,-21.3585,55.7679,27.77,88,100,2.35,RE,1675018480
105,pisco,-13.7,-76.2167,26.03,65,20,4.12,PE,1675018481
106,santa cruz,-17.8,-63.1667,30.03,66,75,7.2,BO,1675018481
107,necochea,-38.5473,-58.7368,28.64,37,0,8.39,AR,1675018482
108,fortuna,40.5982,-124.1573,9.43,81,0,0.45,US,1675018482
109,klaksvik,62.2266,-6.589,4.51,77,49,16.55,FO,1675018483
110,zhezkazgan,47.8043,67.7144,-21.01,95,5,2.97,KZ,1675018484
111,carnarvon,-24.8667,113.6333,22.51,83,0,4.21,AU,1675018484
112,chokurdakh,70.6333,147.9167,-38.93,100,76,1.1,RU,1675018485
113,kijang,35.2442,129.2139,-1.15,60,4,4.84,KR,1675018486
114,victoria,22.2855,114.1577,13.51,46,7,3.58,HK,1675018368
115,puerto ayora,-0.7393,-90.3518,30.98,89,99,3.13,EC,1675018321
116,valleyview,55.0667,-117.2859,-20.98,71,100,6.69,CA,1675018487
117,yellowknife,62.456,-114.3525,-31.71,75,20,2.06,CA,1675018279
118,kandi,11.1342,2.9386,28.58,11,95,2.2,BJ,1675018196
119,shubarshi,48.5872,57.1869,-11.97,93,9,2.33,KZ,1675018488
120,tromso,69.6496,18.957,-1.99,86,75,0.51,NO,1675018489
121,tasiilaq,65.6145,-37.6368,-15.25,83,24,2.75,GL,1675018489
122,lompoc,34.6391,-120.4579,12.56,78,100,6.71,US,1675018490
123,rehoboth,-23.3167,17.0833,27.92,29,79,8.65,NA,1675018490
124,norman wells,65.282,-126.8329,-8.98,86,100,5.14,CA,1675018491
125,hermanus,-34.4187,19.2345,19.33,64,100,10.15,ZA,1675018461
126,kruisfontein,-34.0033,24.7314,16.92,60,100,5.29,ZA,1675018492
127,nyurba,63.2842,118.3319,-32.56,98,100,1.18,RU,1675018492
128,cabo san lucas,22.8909,-109.9124,24.23,57,0,0.45,MX,1675018423
129,khatanga,71.9667,102.5,-39.96,100,90,1.49,RU,1675018493
130,saskylakh,71.9167,114.0833,-35.16,98,99,1.95,RU,1675018494
